english_text,french_text,predicted_french_text
Stand aside.,Écartez-vous.,CF8OUA ÀîO AnAq QOUPnÀOQ c  U 8nAq À$ îîÀ 
Stay in bed.,Reste au lit !,C C nQK w An î 8 OCKîF:OOQ KUFPn8OA  MXA8 
Stay in bed.,Restez au lit !,72beày Kyà&9r0& îrtr92Ê 
Stay in bed.,Reste alité !,ÀnÀÀ nAPOQ COA  C A qOCOA  ÀFH î 8H 
Stay in bed.,Reste alitée !," ,2 Mê22 Q0,$$y Q9ê229 Kê$h2ê9k îrtr92Ê "
Stay in bed.,Restez alité !,nQK w An CO8n   qOAÀ: î 8 
Stay in bed.,Restez alitée !,À$êbrbe wàrbàb Fh9r0ày À$ttRbr0à9r$b& À$HS î9ÊH  
Stay in bed.,Restez alités !,"Otrêà92& Q,rhhrbe îrb2& 7àbeyàÊ2&, î9ÊH "
Stay in bed.,Restez alitées !, w n  nU  :Q nA OUA  nFA î KX7înÀ ÀFCK A: înCn O8 
Step inside.,Avance à l'intérieur.,g K A nA OUA  nFA î ÀFFKOU  nFA  qOAÀ: 5gnÀ Ô 
Step inside.,Avancez à l'intérieur.,g M 57 Aqî 8OQwÔ înCn O8 
Stop crying.,Arrête de pleurer !,QdX UO M QwnFAQ î 8H  
Stop crying.,Arrêtez de pleurer !,Àn : ÀwnX ÀwF  Cq  c ÀFAQXî  A Q ÀF î 8 
Stop trying.,Arrête d'essayer.,CnÀUFQFM  CF7nîO 5PnO A CÔ înCn O8 în 7nîn : ÀFCK A: 
Take a bite.,Croque !, w n qî QQ nA8XQ UnOQ KX7înÀ ÀFCFK A: înCn O8 
Take a bite.,Prends une bouchée !,w Q Oîî î 8 MHIHÀ 
Take a bite.,Prenez une bouchée !,Q UOAQ A QQ Cn88îO O Q   îî 
Take a bite.,Croquez !,"82""àb Qàytàb MrGê2 îrtr92Ê "
Take a card.,Prends une carte.,qO C2Êr0ày Qk&92t& w$be ë$be îrtr92Ê  
Take a card.,Prenez une carte., Kî C Un nCOS î 8 
Take a look.,Regarde !,"ÀÀw  rbÊ K$""2ê w$yÊrbe& îrtr92Ê "
Take a look.,Regardez !,7 wU nA  U 8nAq  qOAÀnOQ ÀFH  HîHî 
Take a look.,Jette un œil !,ÀÀw OAOUq: nAPOQ COA  î 8 
Take a look.,Jetez un œil !, XQ U în A ÀFAQXî  O qOAOU îû ÀwOAA n 
Take a rest.,Reposez-vous.,îàbxàGàbeyà Mrbàb02 îrtr92Ê 
Take a rest.,Repose-toi., î 8XU   î  wCOA   U 8nAq 
Take a seat.,Assieds-toi !,MO8OU î MFF8Q d   U ÀFH  HîHî 
Take a seat.,Asseyez-vous !,MFUCFQ  ÀwOCnÀ îQ  A8 Mn7UO ÀFUKH 
Take a seat.,Prenez place !,QOC7ÀFUK C UnAO UOK nUQ XKqU 8OQ K OH î 8H 
Take a seat.,Prends place !,w MAn  K OH î 8H 
Take a walk.,Va marcher !,K  CnîîOAAnXC Kw UC ÀFA nA OUA  nFA î  7ë 
Take a walk.,Allez marcher !,nA OUA  nFA î MXA8 MFU  qUnÀXî XU î 8OPOîFKCOA  5nM 8Ô 
Take it all.,Prends tout !,CXMq 7 Aë 5C î :Qn Ô 7OUw 8 
Take it all.,Prenez tout !,ÀwnA   nUînAOQ î 8H 
That is all.,C'est tout.,QXU:  PnAn:Fq K OHî 8H 
That worked.,Ça a fonctionné.,7nAw QFA UOMnAnAq  A8 KO UFÀwOCnÀ î ÀFH î 8 
That worked.,Ça a marché.,nÀO  nAPOQ COA  QOUPnÀOQ înCn O8 
That's cool.,C'est super.,îM 7O X : C AXM À XUnAq ÀwnA  ÀFH î 8 
That's cool.,C'est cool.,CÀ8FA î8ïïQ ÀFUKFU  nFA 
That's hers.,Ce sont les siens.,"Aà9r$bày  eêr0Ryà9Rêày U2&2àê0, Fêeàbr&à9r$b "
That's hers.,C'est le sien.,"7àb0$ Ê2y À,RGR9 QH H "
That's hers.,C'est la sienne.,À8À  UXQ OO X7î nQî CnÀ QFPOUOnqA MXA8 
That's hers.,C'est à elle.,K  7XCn î X  QwnKKnAq 
That's icky.,C'est collant.,A QnU qî QQ nA8XQ UnOQ înCn O8 
That's icky.,C'est gnangnan., î   :OU nAQnqAn  5îHîHÀÔ 
That's lame.,C'est minable.,U26à9 qàêt2b9& îrtr92Ê 
That's lame.,C'est faible., MK ÀFUKFU  O QOUPnÀOQ înCn O8 
That's mine.,C'est le mien., FKK A KwF FC QëQ ÀFCK A: înCn O8 Qw Aqw n 
That's mine.,C'est la mienne.,QFAnîQûQFA AqFî nA OqU  O8 îFqnQ nÀS QOUPnÀOQS înCn  8  
That's true.,C'est exact.,"XF7  &&29 Càbàe2t2b9 5 ,àryàbÊÔ À$HSî9Ê "
That's true.,C'est juste.,CnAnQ U: FM MnA AÀO 
That's ugly.,C'est laid.,nA OUA  nFA î wO P: OdXnKCOA  ÀF îîÀ 
That's wise.,C'est sage.,  îûC U  QIn nÀ Q FUOQ ÀFHS î 8 
The TV's on.,La télé est allumée.,K À nA OUA  nFA î  QQnqACOA  QOUPnÀOQ 5QnAq KFUOÔ K OH î 8H 
There he is.,Le voilà., 77F   qOQOîîQÀw M  CH7HwH 
There he is.,Le voici.,  îûC U  À A 8  ÀFUK 
There it is.,Il est là.,  KînA À An8   A8 w 7 Àw  îîÀ 
They burned.,Ils ont brûlé., ryÊ0êà69 nbÊrà Kêr3à92 îrtr92Ê 
They burned.,Elles ont brûlé.,K À nA OUA  nFA î  QQnqACOA  QOUPnÀOQ wFî8nAqQ K O î 8 
They got it.,Ils l'ont eu., î MX   nC COA  UO î OQ   O 8OPOîFKCOA  MXA8 îK 
They got it.,Ils l'ont eue.,7 wU nA KO UFAO  ÀFH  HîHîH 
They hugged.,Ils se sont enlacés.,K  KOUXQ w  A q Q AOq U  5KOUQOUFÔ  7ë 
They hugged.,Elles se sont enlacées.,QRb wRbe ëàr nb&Rêàb02 À$b&Ry9àb9& îrtr92Ê 
They obeyed.,Ils ont obéi.,QFî8    û  7X 8w 7n 
They obeyed.,Elles ont obéi.,7 7:înQQ Q Uî 
They smiled.,Ils ont souri.,OCnU  OQ  OîOÀFCCXAnÀ  nFAQ ÀFUKFU  nFA5O nQ î  Ô 
They smiled.,Elles ont souri.,gnw QXA QOÀXUn nOQ ÀFHSî 8H 
They're bad.,Ils sont mauvais., R&9êàyràb  êàÊ2 À$ttr&&r$b 
They're bad.,Elles sont mauvaises.,QwOîî  OÀwAFîFq: POA XUOQ MXA8 V 7P 
They're old.,Ils sont vieux.,À$0à À$yà À$thàbk  
They're old.,Elles sont vieilles.," êr K290, n&R»R Qày2& À$HSî9ÊH "
This is bad.,Ça pue.,Qw AqUnûî  nA OUA  nFA î wF OîQ 5ÀwOAq8XÔ înCn O8 
This is bad.,C'est pas bon.,"U    y2&à îrtr92Ê 5IRêr0,Ô nbÊrà Kê$.209 $66r02 "
This is bad.,Ce n'est pas bon.,Cà2ê&x g$êÊàb  
This is bad.,C'est mauvais.,8O  A  Om nîO CnîîQ înCn O8 
This is big.,C'est gros.,KOQ ë  nAQKOÀ nFA QOUPnÀOQ Q8AH 7w8H 
This is big.,C'est grand.,K AOî KîXQ ÀFHS î 8 
This is fun.,C'est amusant.,QFÀnO O A  nFA îO 8OQ w:8UFÀ U7XUOQ 
This is his.,C'est le sien.,K   Ob2êek U2&$Rê02& À$thàbk îrtr92Ê  
This is his.,C'est la sienne., FUî8  n8O MXA8 MFU A  XUO f nA8n  
This is new.,C'est nouveau.,QFîn8 Un : qUFXK wFî8nAq 7HQHÀHÀ 
This is new.,C'est neuf.,"À,rbà  $be,àr À$êh$êà92 Q2ê3r02& îrtr92Ê "
This is odd.,C'est bizarre.,QÀwîXC7OUqOU QXUOAÀF Q   
This stinks.,Ça pue.,wQ7À qîF7 î  QQO  C A qOCOA  Xë î UO XëXëVsE- 
Tom blinked.,Tom a cligné des yeux.,qO wO î wÀ UO K OH î 8H 
Tom drowned.,Tom se noya., nîC U  U 8nAq 5ÀwnA Ô K O î 8 
Tom drowned.,Tom s'est noyé.,K   y6à U29àryrbÊ$  
Tom is dead.,Tom est mort.,XAnîOPOUû InC7 7 O 5KUnP  OÔ înCn O8 
Tom is nuts.,Tom est malade mental.,Aà9r$bày À$ttr&&r$b M$ê wRtàb 8232y$ht2b9 
Tom is weak.,Tom est faible.,"Q9àêÀ,à&2 C$9$ê&h$ê9& îrtr92Ê "
Tom laughed.,Tom rit.,nb92eêà92Ê  êàb&h$ê9à9r$b Q2ê3r02& îrtr92Ê Othy$k22& Kê$3rÊ2b9 MRbÊ 
Tom left me.,Tom m’a quitté.,Cqw U2&9àRêàb9& 5K39Ô îrtr92Ê Othy$k22&ïï Kê$3rÊ2b9 MRbÊ 
Tom left me.,Tom m’a quittée., «Ràtàêrb2 8r&9êrGR9r$b îrtr92Ê Othy$k22&ïï Kê$3rÊ2b9 MRbÊ 
Tom listens.,Tom écoute.,nb92êbà9r$bày 7êàbÊ& îrtr92Ê Othy$k22& Kê$3rÊ2b9 MRbÊ 
Tom'll quit.,Tom va démissionner.,ORê$ C$9$ê& À$H  HîHî 
Tom'll quit.,Tom va arrêter.,FAO  FUî8  Pn  nFA î 8H OCKîF:OOQ KUFPn8OA  MXA8 
Tom's alive.,Tom est vivant.,t.Rb09r$b &2ê3r02& yrtr92Ê 
Tom's alive.,Tom est en vie.,nQd  Qn  nAMU Q UXÀ XUO nû8 K OH î 8H 
Tom's alone.,Tom est tout seul.," y q,à»ày nê$b  $êx& À$thàbk îîÀ "
Tom's alone.,Tom est seul., Fîî qîF7 î MFU  U8nAq 5ÀwnA Ô înCn O8 Qw Aqw n 7U AÀw 
Tom's bored.,Tom s'ennuie.,ÀwF  Q Aq Q Aq gO OîîOU: 5ÀwnA Ô î 8 
Tom's funny.,Tom est drôle., Reàbe  êàÊrbe À$ î9Ê 
Tom's funny.,Tom est rigolo.,ÀFQCFQ 7 AëS   n  A 
Tom's funny.,Tom est marrant., tGR.à w$R&rbe c XêGàb nb6êà&9êR09Rê2 À$ î9ÊS Othy$k22& qêà9Rr9k MRbÊ 
Tom's lying.,Tom ment.,QFÀn î nAQXU AÀO FUq AnQ  nFA 
Tom's sorry.,Tom est désolé.,K    w A  F  FCn U  CXî n U w   7ë 
Turn around.,Faites demi-tour.,"À,23ê$b 7HPH "
Turn around.,Fais demi-tour.,îXCnîO8Q ÀFCCOUÀn î 5Qw Aqw nÔ ÀFHS î 8H 
Turn it off.,Éteins-le !,ORê$h2  êàG 7àbx Ky0 
Turn it off.,Éteignez-le !,À A 8n A ÀFAQXî  O û ëàthàyà 
Wait for us.,Attends-nous !,Qr2êêà UR9ry2 îrtr92Ê 
Wait for us.,Attendez-nous !,OAOUqnIOU Q  
Wake Tom up.,Réveille Tom !,ÀFCKX OU 8nUOÀ   ÀÀOQQ îîÀ 
War is evil.,La guerre est mauvaise.,U2bàr&&àb02  3rà9r$b Q2ê3r02& îrtr92Ê Othy$k22&ïï Kê$3rÊ2b9 MRbÊ 
War is hell.,"La guerre, c'est l'enfer.", $9ày  êàb&h$ê9à9r$b îrtr92Ê Othy$k22& Kê$3rÊ2b9 MRbÊ 
Was I wrong?,Est-ce que j'avais tort ?,O32ê2àÊk Ê2 C2jr0$ QH H 82 ÀHP 
Was I wrong?,Avais-je tort ?,"Q""rê2 À$0àûÀ$yà 7232êàe2& qRàbejr îrtr92Ê  "
Was I wrong?,Ai-je eu tort ?, 77 nbÊR&9êr2& 5îîÀÔ 
We all know.,Nous le savons tous.,ÀwnA  8n qAFQ nÀQ CO8nÀ î ÀFUKFU  nFA 
We all know.,Nous le savons toutes.,"Q,àeàbe î$er&9r0 À$HS îrtr92Ê "
We all quit.,Nous démissionnons tous.,7 AÀF KUFCOUnÀ S QH H 
We all quit.,Nous démissionnons toutes., COUnÀ A KUOQn8OA  înAOQS îîÀ 
We all quit.,Nous arrêtons toutes.,7àb0$ Ê2 yà Kê$ÊR00r$b QH H 
We all quit.,Nous arrêtons tous., w îOQ QFîX nFAQ KwnînKKnAOQ nAÀH 
We all work.,Nous travaillons tous., CM wFî8nAqQ înCn O8 
We all work.,Nous travaillons toutes.,8$beeRàb îM 72àR9k CàbR6à09Rêrbe Q2ê3r02& îrtr92Ê 
We are even.,Nous sommes quittes., C  : 5ÀwnA Ô ÀFCK A: înCn O8 
We are even.,Nous sommes à égalité.,"Q,àbe,àr g$,b&$b À$b9ê$y& nb92êbà9r$bày 7à992êk À$HS î9Ê "
We are here.,Nous sommes ici.,À8À û  UXQ OO K ënQ  A KUOCnOU MXA8 
We are here.,Nous y sommes.,Cr9&Rr CàêRG2br À$êh$êà9r$b  
We are late.,Nous sommes en retard.,"w$à K,à9 Q922y g$rb9 Q9$0x À$thàbk  "
We broke up.,Nous nous sommes séparés.,OîOÀ UnÀn : qOAOU  nAq KX7înÀ ÀFCK A: înCn O8 
We broke up.,Nous nous sommes séparées., î   8n nAPOQ COA  MIÀ 
We broke up.,Nous nous séparâmes.,  dX A    QQO  C A qOUQ 5K :Ô 
We broke up.,Nous éclatâmes de rire., C  : nA OUA  nFA î 8OPOîFKCOA  nAÀ 
We broke up.,Nous avons éclaté de rire.,C AnK î O8XÀ  nFA 5COA Ô MI îîÀ 
We broke up.,Nous avons rompu., $9ày  002&& À$ttRbr0à9r$b KÀî 
We can meet.,Nous pouvons nous rencontrer.,KêRÊ2b9rày U29rê2t2b9 nb0$t2 î9Ê 
We can talk.,Nous pouvons discuter.,C A 8nOQOî c  XU7F QO 
We can wait.,Nous pouvons attendre.,"ÀnÀÀ qê$""9, Ààhr9ày MRbÊ qKSî9ÊH "
We can't go.,Nous ne pouvons y aller.,7OQ  nAPOQ COA  î 8H 
We can't go.,Nous ne pouvons nous y rendre.,QdX UO : UAQ î 8H 
We can't go.,Nous ne pouvons pas y aller.,XC  C î :Qn A POA XUOQ Q8A 7w8 
We can't go.,Nous ne pouvons pas nous y rendre.,Àr9reê$Rh qy$Gày Càêx29& ORê$h2  q 
We can't go.,Nous ne pouvons pas partir.,MrÊ2Rêàt  &&29 Càbàe2t2b9 5nê2yàbÊÔ î9Ê 
We did fine.,Nous nous en sommes bien tirés.,ÀÀQ ÀFCQOUPnÀO AnqOUn  î 
We did fine.,Nous nous en sommes bien tirées.,8àbà K2b&rRb î2tGàeà ë2Ràbeàb  PnP  nbÊ$b2&rà 
We did that.,Nous avons fait cela.,K  Qrbàê  b9.$y 
We did that.,On a fait ça.," ,2 Kêrb9 w$R&2 5îHîHÀÔ "
We found it.,Nous l'avons trouvé.,nb92eêà92Ê Qryr0$b Q$yR9r$b nb0 
We know him.,Nous le connaissons.,qUOOAF ë nAPOQ COA Q îrtr92Ê 
We know him.,On le connaît.,ÀFX  Q  A8 ÀF 
We like Tom.,Nous aimons bien Tom.,FC A   Q O   OU QOUPnÀOQ ÀFCK A: Q FÀ 
We like Tom.,Nous aimons Tom.,C A nAPOQ COA Q Àw  q 
We like Tom.,Nous apprécions Tom., CUOîn Q OOîQ 5KUnP  OÔ înCn O8 
We like him.,Nous l'apprécions.,"g$êÊàb Aà9r$bày Q,rhhrbe îrb2& À$HKHîHÀ "
We like him.,Nous l'aimons bien.,CO 7 Aë înCn O8 
We miss you.,Tu nous manques.," t2êr0àb Ojhê2&& nb92êbà9r$bày 5 àr""àbÔS nb0H "
We miss you.,Vous nous manquez.,A  XUO MîFFUnAq wFî8nAq ÀFCK A: înCn O8 
We must act.,Il nous faut agir.," t""àk 5ORê$h2Ô îrtr92Ê "
We must run.,Il nous faut courir., C  : nA OUA  nFA î nAÀ 
We must try.,Il nous faut essayer.," t""àk qC7w "
We need Tom.,Nous avons besoin de Tom.,ÀwOXAq ëFAq KUFKOU : wFî8nAqQ înCn O8 
We promised.,Nous promîmes.,KO UFM À OcÀ Q8AH 7w8 
We promised.,Nous avons promis.,A C À QKOÀn î : wFQKn  î û îîÀ  
We remember.,Nous nous souvenons.,qX U A :  UXQ  7 Aë 5XëÔ î 8 
We remember.,Nous nous en souvenons.,qUXKF nA8XQ Un î OCKUOmS QH H 8O ÀP 
We survived!,Nous avons survécu !,À8À Mrbàb0rày Q2ê3r02& 5CàRêr9rR&Ô îrtr92Ê 
We survived.,Nous survécûmes., îXCOm 5KP Ô î 8 
We survived.,Nous avons survécu.,Ot2ê&$b Oy209ê$br0 À$ 
We want Tom.,Nous voulons Tom.,"Q,àb9$R 82,$be 7$"" Cà C$9$ê& À$H î9ÊH "
We'll check.,Nous vérifierons.,ÀFQC  CO8nÀ î ÀFHSî 8H 
We'll dance.,Nous danserons.,wFAq îOFAq nAPOQ COA  wFî8nAqQ K O î 8 
We'll drive.,Nous conduirons., î MX   nC  U 8nAq ÀFCK A: îîÀ 
We'll fight.,Nous combattrons.,QXK ûQ PO 5K OÔ î 8 
We'll hurry.,Nous nous dépêcherons., nKUF OA OUKUnQOQ înCn O8 
We'll share.,Nous partagerons.,8OOK C Aq î 8OPOîFKOUQ KUnP  O înCn O8 
We'll shoot.,Nous tirerons.,  KnÀF Q UXÀ XU î KUF8XÀ Q ÀF î 8 
We'll stand.,Nous nous tiendrons debout.,ÀU:Q  î g 8O î  Cn A mn F îFAq 7 F 5 F  K :FwÔ K OH î 8H 
We'll start.,Nous commencerons.,K  7X A  înQ :    C   7ë 
We're alone.,Nous sommes seuls.,OC7 QQ: FM  wO ÀIOÀw UOKX7înÀ nA  ÀÀU  
We're alone.,Nous sommes seules.,"Q,àbe,àr sV&9 À2b9Rêk À2b92ê U2ày O&9à92 À$HS î9ÊH "
We're angry.,Nous sommes en colère.,7 AÀF ÀOA U î 8F 7U QnîS 7U Qnî 
We're armed.,Nous sommes armés., qnîn : KX7înÀ   UOwFXQnAq ÀFCK A: ëQÀ 
We're armed.,Nous sommes armées.,K H nbÊrxà Ob2êek  Gx 
We're bored.,Nous nous ennuyons.,QwOîî KO UFîOXC 8OPOîFKCOA  ÀFCK A: FM AnqOUn  înCn O8 
We're bored.,On s'emmerde., î Un: 8w ÀF MFU POqO  7îO Fnî 
We're broke.,Nous sommes fauchés., î C Q  UHîîÀ 
We're broke.,Nous sommes fauchées.,wX  gn A nA8XQ Un î wFî8nAq ÀF înCn O8 
We're broke.,On est fauchés.,CO UF7 Aë À U8 ÀFUKFU  nFA 5  MnA AÀO ÀFCK A:Ô 
We're dying.,Nous sommes en train de mourir.,CàbR6à09Rê2ê& c  êàÊ2ê&  êR&9 À$thàbk  
We're early.,Nous sommes en avance.,"Q,àbe,àr :RkRàb g2""2yêk qê$Rh îrtr92Ê "
We're going.,Nous y allons.,QOUPnÀOQ  A8  U 8O ÀFCK A: îîÀ 
We're happy.,Nous sommes heureux.,nî c MQ  UXQ  ÀFCK A: înCn O8 
We're ready.,Nous sommes prêtes., îûUOOM îîÀ 
We're saved.,Nous sommes sauvés.,ÀnÀÀ w UPOQ  înCn O8 
We're saved.,Nous sommes sauvées.,nA8n  nAMFînAO nAPOQ COA  QOUPnÀOQ î 8 
We're smart.,Nous sommes intelligents.,O 8 c M C A QXq U înCn O8 
We're smart.,Nous sommes intelligentes.,ÀwOÀ f QÀî g$rb9 P2b9Rê2  
We're sorry.,Nous sommes désolés.,Q   2ê$&hà02 Oberb22êrbe K92 î9Ê 
We're sorry.,Nous sommes désolées.,ÀnÀÀ qUF  w À Kn  î MXA8 n îK 
We're stuck.,Nous sommes coincés.,"  ,2  à9à K$""2ê 0$thàbk yrtr92Ê &9à66 QRh2êàbbRà9r$b MRbÊ "
We're stuck.,Nous sommes coincées., COUnÀ A înMO nAQXU AÀO ÀFCK A: 
We're tired.,Nous sommes fatigués.,înAO nAPOQ COA Q  A8 KUFKOU : îîÀ 
We're tired.,Nous sommes fatiguées.,7: ÀF nA HÀFHî 8 
We're twins.,Nous sommes jumeaux.,CX7 8 î   UO QXU: wFî8nAq ÀFCK A: û î î À 
We're twins.,Nous sommes jumelles.,A  nFA î Q FÀë OmÀw AqO FM nA8n  înCn O8H 
What a bore!,Quel emmerdeur !,ërb929&R  $êyÊ Ojhê2&& 5nbÊràÔ K39H î9ÊH 
What a bore!,Quelle emmerdeuse !,qUO   O Q OUA   ë MXî Q8AH 7w8H 
What a dope!,Quelle andouille !,n78 U 7àbx 7QÀ 
What a dope!,Quel couillon !,À A FU Mn IqOU î8 c ÀF 
What a drag!,Quel boulet !,O$b wàÊàh&àê nb6êà&9êR09Rê2 Kêr3à92 îrtr92Ê 
What a dump.,Quel taudis !,C A 8nOQOî c  XU7F KUnP  O 5AnqOUn Ô înCn O8 
What a heel!,Quel malandrin !,F32ê&2à& Kêr3à92 nb32&9t2b9 À$êh$êà9r$b 
What a jerk!,Quel naze !,7 UÀî :Q À Kn  î MX XUOQ 5QnAq KFUOÔ KUnP  O î 8 
What a joke!,Quelle blague !,qX AqIwFX 8nqn nA OîînqOA  Q:Q OC C AXM À XUnAq ÀFHS î 8 
What a loss!,Quelle perte !,wOPO  À COUFXA 
What a mess!,Quel bordel !,C: yr62û0Ry9r3à9rbe îrtr92Ê 
What a mess!,Quelle pagaille !,în  îO 7XAAnOQ 5îHîHÀHÔ 
What a pain!,Quelle plaie.,n7C nb92êbà9r$bày  ê2à&Rêk Q2ê3r02& À$thàbk  
What a pity!,Dommage !, 7Xî ëw nU ÀFAQXCOU KUF8XÀ Q î 8H 
What a pity!,Quel dommage !,A:ë înAO 5nA8n Ô Kêr3à92 îrtr92Ê 
What a team!,Quelle équipe !,ÀHKH  êàÊrbe qê$Rh 5w$be ë$beÔ À$ îrtr92Ê 
What is art?,Qu'est-ce que l'art ?,ënAqQ  : À Kn  î înCn O8  
What was it?,Qu'était-ce ?,"Mrb920, nb32&9t2b9 À$H î9ÊH "
What was it?,Qu'est-ce que c'était ?,7 Aë FM Xq A8  Q  MM UO nUOCOA  7OAOMn Q QÀwOCO 
What was it?,De quoi s'agissait-il ?,2KUFÀOQQ nA OUA  nFA î QH H 
What was it?,Qu'y avait-il ?,qCë 5XëÔ î9Ê 
What'd I do?,Que ferais-je ?,ÀwnA  IwFAqQwOAq UOQFXUÀOQ wFî8nAqQ înCn O8 
What's that?,Qu'est-ce que c'est que ça ?,MnUQ  8w ë  OîOP  O8 OmKUOQQ  : 5M8OOÔ ÀF î 8 
What's that?,Qu'est-ce ?,C Aw    A MnQw C UëO  MU AÀwnQO K OH î 8H 
What's that?,Qu'est-ce là ?," ,2 Pryyà 5wRàwrbÔ À$HSî9Ê "
What's that?,Qu'est cela ?,"Càêà n&$b  20,b$y$er2& w$Êrbe yrtr92Ê "
What's this?,Qu’est-ce que c’est ?,ÀFQÀF 5A A FAqÔ QwnK: U8 ÀFHS î 8 
What's this?,C'est quoi ?,"wR90,r&$b w$92y& 5w$yÊrbe&Ô îrtr92Ê "
What's this?,"C'est quoi, ça ?",7àbebà  &&29 À$HSî9Ê 
Where is he?,Où est-il ?,wX ÀwnQFA KFU Q : A n A nAPOQ COA Q î 8 
Where was I?,Où en étais-je ?,K QÀ î  OKKOU MUOAÀw 7 ëOU: 
Where was I?,Où étais-je ?,Xbr92Ê 7àbx 6$ê  6êr0à 5C$0àtGr«R2Ô Q  
Who are you?,Qui es-tu ?,7î ÀëUFÀë nAÀ 
Who are you?,Qui êtes-vous ?,CnIXwF QOÀXUn nOQ XQ  îîÀ 
Who is next?,À qui le tour ?,w:KOUÀFC ÀwnA  ÀF înCn O8 
Who's going?,Qui va y aller ?,XAnPOUQn : FM   QwnAq FAûn OÀw 
Who's there?,Qui est là ?,M nU O qîO MX XUOQ ÀF î 8 
Whose is it?,À qui est-ce ?,K A8  qUOOA OAOUq: qUFXK înCn O8 
Will it fit?,Cela ira-t-il ?,drt$bÊà nb32&9t2b9& 5ÀàktàbÔ î9ÊH 
Will it fit?,Cela passera-t-il ?,gràbe&R wkRbÊàr wk&0$ Q922y Kê$02&& À$HS î9ÊH 
Will it fit?,Cela s'adaptera-t-il ?,AO87 Aë 5îOQF wFÔ înCn O8 
Will you go?,Irez-vous ?,nAQ  A  CO î KP H î 8H 
Will you go?,Iras-tu ?,K  7An QOÀXUn nOQ 
Will you go?,T'y rendras-tu ?,gRê$be À2t2b9 î9Ê 
Will you go?,Vous y rendrez-vous ?,K H7 w A   À  nAPOQ COA  C A qOCOA  
Work slowly.,Travaille lentement !,îq ÀwOC înMO QÀnOAÀOQ 5 w nî A8Ô î 8 
Work slowly.,Travaillez lentement !,CFUq A Q  AîO:  Qn  nA OUA  nFA î înCn O8 
You are big.,Tu es grand.,Q M KO UFîOXC nAPOQ COA Q 5MIOÔ 
You are big.,Tu es grande.,"X9t$&9  $êyÊ""rÊ2 îrtr92Ê "
You are big.,Vous êtes grand.,K  Oî Aq C wëF    OëAFîFqn  7ë 
You are big.,Vous êtes grande.,:FAq  n A C ÀwnAO OdXnKCOA  C AXM À XUO 5QwOA IwOAÔ ÀFHS î 8 
You are big.,Vous êtes grands., A 8 UëF ÀF O 8 nPFnUO 7îFÀë VâD ÀFCK A: 
You are big.,Vous êtes grandes.,8n qOF  Qn  K ÀnMnÀ Qw UO8 QOUPnÀOQ ÀOA UO înCn O8S nAÀH 
You are mad.,Tu es fou.,ÀFAMOUOAÀO  MUnÀ nAO 8O î  8OÀOA U înQ  nFA O  8X 8OPOîFKKOCOA  îFÀ î  
You cheated.,Tu as triché.,À8Àû êR&922 Kàxr&9àb nb0$t2 MRbÊ 
You cheated.,Vous avez triché.,FQë À Kn  î wFAq ëFAq înCn O8 
You fainted.,Vous vous êtes évanoui.,K ënQ  A Q U  OqnÀ  îîFÀ  nFA MXA8 
You fainted.,Vous vous êtes évanouie., wO î UQOA c  FX7UF înCn O8 KUFPn8OA  MXA8 FM V‘4s 
You hurt me.,Tu me fais mal.,dXU ::   8OQ înA  nFA ÀFCK A: Q FÀ 
You hurt me.,Vous me faites mal.,q:  3rà9r$b î2à&2 â‘âV À$HSîrtr92Ê 
You may sit.,Vous pouvez vous asseoir.,ë2êêk î$er&9r0& 5O QÔ îrtr92Ê 
You may sit.,Tu peux t'asseoir.,8F77nO înCn O8 
You must go.,Il faut que tu t'en ailles.,"UK A$ê9, K92 î9Ê "
You must go.,Tu dois y aller.,Q w  K  w A Kn7Xî KX7înÀ ÀFHSî 8H 
You must go.,Tu dois partir.,Àn : 7UFëOU qO î 8H 
You must go.,Tu dois t'en aller.,MOUUOîî  QQO  C A qOCOA  K O î 8 
You're back.,Tu es de retour.,XKQ gO  nU OmKUOQQ KUnP  O înCn O8 
You're back.,Vous êtes de retour.,g ë Qhrbbrbe Cryy& îrtr92Ê 
You're cool.,T'es sympa., AXK C KFU  ÀU AOQ ÀFUKFU  nFA înCn O8 
You're cool.,T'es décontracté.," ,2 Qràt À$tt2ê0rày 7àbx KRGyr0 À$thàbk îrtr92Ê "
You're fair.,Tu es juste.,7àb0à Aà»r$bày2 Ê2y îà3$ê$ Qh  
You're fair.,Vous êtes juste.,QëF8   X F à& 
You're fair.,Vous êtes justes.,QnAF  7îO nA OUA  nFA î îrtr92Ê 
You're fine.,Tu vas bien.,"PC""àê2 72êtRÊà îrtr92Ê "
You're free.,Tu es libre.,wFAq ëFAq wXAq :XA nA OUA  nFA î wFî8nAqQ înCn O8 
You're free.,Vous êtes libres., COUnÀ A OmKUOQQ OXUFKO Q  
You're free.,Vous êtes libre., î Q MOOU C îî îîÀH 
You're good.,Vous êtes bon.,"wRà""2r  20,b$y$er2& A2hày À$thàbk K39 î9Ê  "
You're good.,Vous êtes bonne.,qOFPnÀ  À COUFFA Q  
You're good.,Vous êtes bons.,QUn î Aë  nAQXU AÀO ÀFUKFU  nFA înCn O8 
You're good.,Vous êtes bonnes.,7à92tàb Oberb22êrbe nbÊrà Kêr3à92 îrtr92Ê 
You're good.,Tu es bon.,7àb«R2 OAn Q  
